,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
8305,8305,"Bright, relaxing city-centre apartment AIL",550926958,Giraud,2023-12-14,"Lyon, France",,within an hour,1.0,f,,1.0,1.0,t,6e Arrondissement,45.7641394,4.8423562,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,73.0,1,1125,1,7,2,1125,2.0,635.6,21,51,81,171,11,11,2,2024-11-24,4.45,4.18,5.0,5.0,6938613666940,f,1,1,1,0,0.95
8309,8309,Logement cosy - Croix Rousse,406326530,Eva,2021-06-10,,,within a day,1.0,t,,1.0,1.0,t,4e Arrondissement,45.7806136176283,4.82073572209013,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,72.0,3,20,3,3,20,20,3.0,20.0,7,27,51,51,18,18,0,2024-10-21,4.83,4.89,4.89,4.39,6938424380644,f,1,1,1,0,1.53
8312,8312,Studio avec vue sur la Saône,369826491,WeHost,2020-09-29,"Lyon, France",,within an hour,0.99,f,2nd Arrondissement,53.0,76.0,t,5e Arrondissement,45.7671943,4.8262382,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,77.0,3,365,3,3,365,365,3.0,365.0,10,35,58,148,45,45,4,2024-12-08,4.53,4.22,4.82,4.87,6938012433325,t,41,41,41,0,3.94
8313,8313,The Studio in the 2nd arrondissement AIL,551619739,Stephane,2023-12-18,,,within an hour,1.0,t,,1.0,1.0,t,2e Arrondissement,45.745424,4.8268757,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,71.0,1,1125,1,4,4,1125,2.0,632.9,30,60,90,180,25,25,2,2024-12-08,4.8,4.8,4.76,4.76,6938213717134,f,1,1,1,0,2.6
8314,8314,Charmant et Caractère proche Tête d'Or,458222405,Guillaume,2022-05-09,"Lyon, France","Enchanté, nous c'est Guillaume & Augustine,

Nous gérons des logements avec Hoosteez, notre conciergerie familiale pour vous permettre de passer un séjour en toute tranquillité en étant chouchouté. 

Notre seul objectif est de vous faire passer le meilleur séjour possible.

Au plaisir de vous rencontrer !

Vos hôtes,
Guillaume & Augustine",within an hour,1.0,,,55.0,96.0,t,6e Arrondissement,45.766474,4.8557157,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,68.0,2,1125,2,3,3,1125,3.0,33.8,22,52,82,232,34,34,0,2024-11-12,4.74,4.62,4.94,4.91,6938612987247,f,22,22,22,0,3.27
8315,8315,Duplex Charmant et Calme proche Part Dieu,458222405,Guillaume,2022-05-09,"Lyon, France","Enchanté, nous c'est Guillaume & Augustine,

Nous gérons des logements avec Hoosteez, notre conciergerie familiale pour vous permettre de passer un séjour en toute tranquillité en étant chouchouté. 

Notre seul objectif est de vous faire passer le meilleur séjour possible.

Au plaisir de vous rencontrer !

Vos hôtes,
Guillaume & Augustine",within an hour,1.0,,,55.0,96.0,t,6e Arrondissement,45.7662506,4.8557098,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,60.0,2,1125,2,3,3,1125,3.0,33.8,24,54,84,234,45,45,4,2024-11-25,4.8,4.71,4.91,4.91,6938612409997,f,22,22,22,0,3.97
8316,8316,Chambre 2 places en appartement,551645266,LiV,2023-12-19,,,,,f,,1.0,1.0,t,8e Arrondissement,45.7406822,4.857926,Private room in rental unit,Private room,2,,,,,2,60,2,2,60,60,2.0,60.0,0,0,0,0,5,5,0,2024-03-10,5.0,4.8,5.0,4.6,,f,1,0,0,0,0.45
8317,8317,"Studio cosy équipé, rénové, Wifi",446809352,Laurence,2022-02-25,"Lyon, France",,within an hour,1.0,f,,4.0,6.0,t,8e Arrondissement,45.7325873871715,4.86689571342889,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,79.0,2,365,2,2,365,365,2.0,365.0,0,0,0,132,1,1,0,2024-07-07,4.0,5.0,5.0,5.0,6938312609327,f,3,3,3,0,0.19
8318,8318,GuestReady - Stylish Escape in the heart of Lyon,551796773,Chloe,2023-12-20,,"At GuestReady, we're on a mission to redefine modern hospitality. We specialise in helping hosts deliver outstanding experiences to their guests worldwide. With years of hospitality experience, we're dedicated to providing an exceptional experience. Let us help you find the perfect place for an unforgettable stay!",,,f,,1.0,1.0,t,3e Arrondissement,45.7560090813192,4.85146078332047,Entire rental unit,Entire home/apt,2,,1.0,,,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,3,3,0,2024-05-06,4.67,4.0,5.0,5.0,6938313700972,t,1,1,1,0,0.32
8319,8319,Dify Joli - Place des Brotteaux,507472339,Tiphaine & Anne,2023-03-28,"Lyon, France",,,,f,,48.0,73.0,t,6e Arrondissement,45.7664658608726,4.85471399536548,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,101.0,1,1125,1,3,1,1125,2.7,111.4,12,35,65,340,23,23,1,2024-11-24,4.09,4.35,4.04,4.52,6938612365853,t,35,35,35,0,2.01
