,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
7181,7181,Location T4 85M²,114593387,Mounir,2017-02-03,"Auvergne-Rhône-Alpes, France",,,,f,,1.0,4.0,t,8e Arrondissement,45.73084,4.85114,Entire rental unit,Entire home/apt,5,,3.0,,,3,50,3,3,50,50,3.0,50.0,0,0,0,0,16,10,0,2024-09-03,4.5,4.25,4.75,4.56,6938813545833,f,1,1,1,0,0.81
7188,7188,Appart de charme sur Valmy !,19153369,Mathilde,2014-07-30,"Paris, France",,,,f,,1.0,2.0,t,9e Arrondissement,45.7756691557203,4.80154904421586,Entire rental unit,Entire home/apt,6,,2.0,,,2,14,2,2,14,14,2.0,14.0,0,0,0,0,4,4,0,2024-08-24,4.75,4.5,4.75,4.5,6938913642806,f,1,1,1,0,0.55
7200,7200,Appartement familial canut,7391419,Félicie Et Mathias,2013-07-10,"Lyon, France","We live in Lyon. Felicie is an art historian of art and Mathias works in culture too. We have two young children. We really like travelling and discovering other countries and other cultures specially through art, architecture and gastronomy!!",,,f,,1.0,1.0,t,1er Arrondissement,45.76985,4.83034,Entire rental unit,Entire home/apt,5,2.5,3.0,3.0,130.0,6,30,4,6,30,30,5.9,30.0,10,10,10,48,3,0,0,2023-05-21,4.67,4.67,5.0,5.0,6938113551073,f,1,1,1,0,0.15
7203,7203,T4 panoramique -  Monplaisir,127483828,Guillaume,2017-04-25,"Lyon, France",,within a day,0.9,f,,1.0,2.0,t,8e Arrondissement,45.7413341972864,4.86340341319063,Entire rental unit,Entire home/apt,6,1.5,3.0,2.0,155.0,2,365,2,2,365,365,2.0,365.0,18,41,71,161,15,5,1,2024-12-08,5.0,4.87,4.93,4.8,6938813551276,f,1,1,1,0,0.73
7205,7205,Chez Nous,208398417,Léna,2018-08-09,"Lyon, France",,within a few hours,1.0,f,,1.0,1.0,t,5e Arrondissement,45.76655,4.82227,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,210.0,2,15,2,2,15,15,2.0,15.0,0,0,0,11,6,5,2,2024-12-08,5.0,4.83,5.0,5.0,6938513551359,f,1,1,1,0,0.49
7210,7210,Appartement 60 m2 4 à 6 pers,70797454,Claude,2016-05-07,"Lyon, France",,within an hour,1.0,t,,1.0,1.0,t,8e Arrondissement,45.7417525,4.8823415,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,105.0,2,15,2,2,15,15,2.0,15.0,2,11,20,41,30,18,1,2024-12-09,4.87,4.67,4.8,4.73,6938813556919,f,1,1,1,0,1.5
7222,7222,Appartement design à Lyon,323511152,Boris,2020-01-02,"Lyon, France",Addict of travel,within an hour,1.0,f,,1.0,1.0,t,7e Arrondissement,45.7347824,4.832696,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,200.0,3,365,3,3,365,365,3.0,365.0,29,51,81,356,3,1,1,2024-12-02,5.0,5.0,5.0,5.0,6938713669089,f,1,1,1,0,0.2
7229,7229,Ideal flat in Lyon City center,3103951,Agnès,2012-07-30,"Saint-Cyr-au-Mont-d'Or, France","Open personality, I enjoy welcoming visitors from all over the world.
Airbnb is a  unique experience for me and i wish to share it with you. Feel free to ask me anything to make your stay a wonderful one!

Je parle français, anglais, allemand, italien et chinois. 

Joyeuse, enthousiaste, j'adore rencontrer et accueillir des personnes du Monde entier. 

A bientôt! See you soon.",within a few hours,0.99,f,8th Arrondissement,39.0,57.0,t,8e Arrondissement,45.7392718484344,4.8633516328607,Entire rental unit,Entire home/apt,8,2.0,4.0,4.0,550.0,365,365,365,365,365,365,365.0,365.0,29,59,89,364,0,0,0,,,,,,1234567890123,f,21,4,4,0,
7237,7237,Loft avec terrasse,6718804,Pierre,2013-06-03,"Lyon, France",I want to discover the whole world,,,f,,1.0,1.0,t,7e Arrondissement,45.7507081727709,4.84345482698363,Entire rental unit,Entire home/apt,8,,4.0,,,2,15,2,2,15,15,2.0,15.0,0,0,0,0,11,0,0,2023-12-10,5.0,4.91,4.91,4.55,6938713558827,f,1,1,1,0,0.56
7239,7239,Bel apparement coeur Vieux Lyon,50441762,Ulysse,2015-12-03,"Lyon, France",,,,f,,1.0,1.0,t,5e Arrondissement,45.7635181806075,4.82807489663331,Entire rental unit,Entire home/apt,6,,2.0,,,2,10,2,2,10,10,2.0,10.0,0,0,0,0,7,1,0,2024-05-20,5.0,4.57,5.0,5.0,6938513560069,f,1,1,1,0,0.35
7246,7246,Le plus agréable quartier de Lyon avec parking,18387953,Rémi,2014-07-19,"Lyon, France","Bonjour,

Je sera ravi de rendre votre séjour le plus agréable possible.

Au plaisir de vous accueillir !

A bientôt !

Rémi",within an hour,1.0,t,,2.0,3.0,t,6e Arrondissement,45.7663754671222,4.84998681367779,Entire rental unit,Entire home/apt,6,1.5,2.0,5.0,190.0,1,365,1,3,1125,1125,1.0,1125.0,13,37,67,121,61,34,7,2024-12-12,4.98,5.0,4.89,4.89,6938612408415,t,1,1,1,0,3.35
7250,7250,Hamac Suites - Suite Herbouville - Quai du Rhône,319512702,Sébastien,2019-12-21,"Lyon, France",,within an hour,0.96,f,,25.0,129.0,t,4e Arrondissement,45.7739858742078,4.83939919543907,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,150.0,1,1125,1,31,322,686,2.1,503.4,20,45,75,350,16,9,2,2024-11-22,4.94,4.88,4.88,4.81,6938413552376,t,15,15,15,0,0.82
7256,7256,95 m² /Triangle d’Or / Lyon 6/ 2 CH+Balcons+Clim,510011404,Benjamin,2023-04-14,,,within a day,0.5,f,,1.0,1.0,t,6e Arrondissement,45.7740358,4.8465344,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,86.0,365,730,365,365,730,730,365.0,730.0,29,59,89,364,0,0,0,,,,,,,f,1,1,1,0,
7261,7261,Grand Duplex coeur Vieux Lyon + Vue sur la Saône,25208563,Matthieu,2014-12-26,"Lyon, France",,within an hour,1.0,f,,1.0,4.0,t,5e Arrondissement,45.763724412476,4.82946759640679,Entire rental unit,Entire home/apt,8,2.0,4.0,4.0,247.0,2,1125,2,2,1125,1125,2.0,1125.0,7,29,51,294,9,7,0,2024-09-28,4.67,4.33,4.56,5.0,6938513562544,f,1,1,1,0,0.6
7275,7275,Beautiful 3BR Apt in Lyon Center,452650355,Antoine,2022-04-04,"Lyon, France",,,,t,,2.0,2.0,t,1er Arrondissement,45.7673707,4.83215423558199,Entire rental unit,Entire home/apt,5,2.0,3.0,3.0,276.0,2,365,2,2,365,365,2.0,365.0,5,5,5,5,26,15,1,2024-11-14,4.92,5.0,5.0,4.92,6938113563941,f,2,2,2,0,1.34
7278,7278,Appartement calme et lumineux de 65m2 Lyon-Centre,108980446,Cyril,2016-12-29,"Lyon, France",,,,f,,1.0,3.0,t,1er Arrondissement,45.7716022131598,4.83455501463222,Entire rental unit,Entire home/apt,7,,2.0,,,2,365,2,2,365,365,2.0,365.0,0,0,0,0,3,0,0,2023-10-07,5.0,4.67,5.0,4.67,6938113552162,f,1,1,1,0,0.16
