,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
7287,7287,"Les Cordeliers, hypercentre",453967259,Yohan,2022-04-12,"Lyon, France","Moi c'est Yohan, et c'est un plaisir de vous rencontrer.
Je suis un Superhost sur la plateforme Airbnb depuis plusieurs années, et j'apprécie vraiment d'être hôte.
Je consacre beaucoup d'efforts à nos logements pour m'assurer que votre expérience dans la belle ville de Lyon soit aussi agréable et mémorable que possible.

En tant que voyageur et père moi-même je comprends l'importance d'avoir un endroit agréable et confortable, sans complications.",within an hour,1.0,t,,6.0,7.0,t,2e Arrondissement,45.7629032,4.8360115,Entire rental unit,Entire home/apt,11,4.0,5.0,7.0,515.0,2,365,1,2,1125,1125,2.0,1125.0,3,21,46,269,69,43,3,2024-12-01,5.0,4.9,4.96,4.99,6938213383671,t,3,3,3,0,3.61
7288,7288,Magnifique T1 au cœur de Lyon,510457580,Hervé,2023-04-17,"Lyon, France",,within an hour,1.0,f,,2.0,2.0,t,2e Arrondissement,45.7601606799724,4.83580587880822,Entire rental unit,Entire home/apt,4,,1.0,,,2,365,2,2,1125,1125,2.0,1125.0,0,0,0,0,19,0,0,2023-12-10,4.58,4.42,4.63,4.84,6938212786330,f,1,1,1,0,1.01
7296,7296,Belle Vue - T3 - Lyon 1,5931758,2beapart,2013-04-15,"Lyon, France","Jean-Philippe et Quentin auront le plaisir de vous accueillir dans leur belle cité. 
Soyez les bienvenus !",within an hour,1.0,t,2nd Arrondissement,51.0,73.0,t,1er Arrondissement,45.766623,4.8375634,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,110.0,30,1125,30,30,51,1125,30.0,602.3,3,3,3,197,0,0,0,,,,,,"Available with a mobility lease only (""bail mobilité"")",f,51,51,51,0,
7298,7298,Cœur Croix Rousse,286022,Arnaud,2010-11-13,"Lyon, France",Hôte ou Voyageur,within a few hours,1.0,t,,2.0,3.0,t,4e Arrondissement,45.7786487513179,4.83258025247998,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,200.0,2,15,2,2,15,15,2.0,15.0,4,20,36,235,28,18,2,2024-12-08,4.93,4.75,4.89,4.89,6938413590087,f,1,1,1,0,1.62
7301,7301,Un nid douillet dans la canopée,6959442,Alice,2013-06-17,"Lyon, France","I am French, but studied in California for four years. I like to play/hear music, run, bike, swim, travel, eat raw/vegan foods, and meet new people. ",,,f,,1.0,2.0,t,7e Arrondissement,45.7505269242851,4.84667149025747,Entire rental unit,Entire home/apt,2,,1.0,,,2,36,2,2,36,36,2.0,36.0,0,0,0,0,1,0,0,2023-07-12,3.0,2.0,4.0,5.0,6938713569715,f,1,1,1,0,0.06
7303,7303,3 Chambres*3 Salles de bain Vue panoramique Lyon,52252704,Ricardo,2015-12-25,"Lyon, France",,within an hour,1.0,t,,1.0,1.0,t,9e Arrondissement,45.78215,4.7946,Entire rental unit,Entire home/apt,6,3.5,3.0,3.0,188.0,2,1125,2,2,99,99,2.0,99.0,22,46,76,348,36,36,4,2024-12-01,4.94,4.97,4.94,4.53,6938913732678,f,1,1,1,0,3.03
7305,7305,Cachet et calme proche du Rhône,4034078,Nathalie,2012-11-01,"Lyon, France",J'aime les voyages et par dessus tout découvrir des plats originaux !,,,f,,3.0,8.0,t,3e Arrondissement,45.7581340258824,4.84380908816146,Entire rental unit,Entire home/apt,4,,2.0,,,5,10,5,5,10,10,5.0,10.0,0,0,0,0,0,0,0,,,,,,6938313570617,f,2,1,1,0,
7307,7307,"Studio 19m2, proche vieux Lyon",273697197,Margot,2019-07-05,"Malauzat, France",,,,f,,1.0,1.0,t,5e Arrondissement,45.7658380080805,4.82097559938766,Entire rental unit,Entire home/apt,2,,1.0,,,2,365,2,2,365,365,2.0,365.0,0,0,0,0,5,0,0,2023-05-29,4.8,5.0,4.2,4.8,6938513571155,f,1,1,1,0,0.25
7311,7311,"Appartement cosy, très lumineux",13918514,David,2014-04-05,"Lyon, France",Jeune ingénieur de 29 ans passionné de voyage et de musique,within a few hours,1.0,f,,1.0,1.0,t,7e Arrondissement,45.7478032,4.8575555,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,114.0,3,365,2,2,365,365,2.0,365.0,0,0,7,7,11,5,0,2024-11-02,4.73,4.82,4.55,4.73,6938713571891,f,1,1,1,0,0.62
7312,7312,location courte durée.,365311520,Jean,2020-08-31,"Lyon, France",,within a few hours,1.0,f,,1.0,2.0,t,8e Arrondissement,45.7333338,4.8749665,Private room in rental unit,Private room,5,8.5,2.0,2.0,66.0,1,14,1,1,14,14,1.0,14.0,29,59,89,364,6,2,0,2024-09-12,5.0,4.83,5.0,4.83,,f,1,0,0,0,0.39
